LEAID,SchoolYearPurchased,total_students
4800030,2018-2019,18709
4800030,2019-2020,20068
4800041,2018-2019,1689
4800058,2019-2020,1061
4800086,2015-2016,417
4800086,2016-2017,387
4800262,2019-2020,265
4807440,2016-2017,17030
4807440,2017-2018,33684
4807440,2018-2019,33290
4807440,2019-2020,66448
4808090,2017-2018,24852
4808100,2015-2016,713
4808100,2016-2017,722
4808100,2017-2018,709
4808100,2018-2019,727
4808100,2019-2020,1476
4808340,2018-2019,3597
4808400,2015-2016,690
4808400,2016-2017,753
4808490,2017-2018,199
4808490,2018-2019,202
4808670,2016-2017,2445
4808670,2017-2018,5432
4808670,2018-2019,3061
4808730,2018-2019,869
4808730,2019-2020,889
4808940,2019-2020,161822
4809280,2019-2020,279
4809570,2015-2016,10278
4809570,2016-2017,10539
4809570,2019-2020,22868
4809670,2019-2020,72648
4810230,2019-2020,47152
4810910,2019-2020,739
4811190,2018-2019,24834
4811250,2016-2017,470
4811310,2017-2018,2988
4811310,2018-2019,3057
4811310,2019-2020,3072
4811340,2015-2016,2092
4811340,2016-2017,4176
4811340,2017-2018,4124
4811340,2019-2020,2077
4811580,2017-2018,6356
4811580,2018-2019,4704
4811580,2019-2020,1506
4811610,2018-2019,1730
4811610,2019-2020,1671
4811730,2018-2019,645
4812180,2019-2020,25620
4812390,2019-2020,7656
4812640,2018-2019,1783
4813050,2016-2017,75828
4813050,2018-2019,25598
4813050,2019-2020,128055
4813170,2015-2016,4046
4813290,2017-2018,5152
4813530,2016-2017,11733
4813530,2017-2018,7972
4813530,2018-2019,8074
4813530,2019-2020,4147
4813590,2018-2019,19186
4813800,2015-2016,1848
4813800,2016-2017,603
4813800,2017-2018,1216
4813800,2018-2019,603
4813800,2019-2020,1192
4813960,2017-2018,2756
4814280,2018-2019,84410
4814430,2015-2016,11712
4814430,2016-2017,11511
4814430,2019-2020,11222
4814730,2018-2019,23935
4814820,2016-2017,3212
4814850,2017-2018,2262
4815000,2016-2017,1374572
4815000,2017-2018,61580
4815000,2018-2019,62837
4815000,2019-2020,64799
4815210,2019-2020,13218
4815270,2017-2018,38014
4815270,2018-2019,37318
4815270,2019-2020,36618
4815480,2018-2019,295
4815510,2015-2016,3453
4815540,2015-2016,1148
4815540,2016-2017,2232
4815540,2017-2018,1156
4815540,2018-2019,1151
4815540,2019-2020,1174
4816110,2015-2016,113936
4816230,2017-2018,156832
4816230,2018-2019,155119
4816410,2018-2019,5418
4816500,2016-2017,3135
4816500,2017-2018,10032
4816620,2015-2016,92472
4816620,2016-2017,67668
4816620,2017-2018,190672
4817390,2015-2016,15334
4817610,2016-2017,4536
4817610,2017-2018,4319
4817610,2018-2019,4300
4817880,2019-2020,1535
4818120,2017-2018,988
4818280,2017-2018,3675
4818280,2018-2019,7364
4818280,2019-2020,18060
4818810,2018-2019,12348
4818810,2019-2020,12048
4819380,2016-2017,5745
4819380,2017-2018,5673
4819380,2018-2019,5693
4819380,2019-2020,5777
4819560,2016-2017,48525
4819560,2018-2019,11133
4819950,2016-2017,12174
4820220,2015-2016,2862
4820220,2016-2017,2945
4820220,2017-2018,3080
4820220,2018-2019,6390
4820220,2019-2020,3061
4820280,2015-2016,7002
4820280,2016-2017,27576
4820280,2017-2018,21051
4820280,2018-2019,7019
