Purchased Date,School Year Purchased,Agency Name,LEAID,Technology,Purchase Description,Total Cost,Notes,Comment
9/17/20,2020-2021,A+ Charter Schools,4800203,Go Guardian,Go Guardian Renewal,"$11,726.45 ",,
9/17/20,2020-2021,A+ Charter Schools,4800203,Go Guardian,Go Guardian Renewal,"$9,594.37 ",,
10/19/20,2020-2021,A+ Charter Schools,4800203,Go Guardian,Go Guardian Training,$251.75 ,,
10/21/20,2020-2021,A+ Charter Schools,4800203,Go Guardian,Go Guardian Training,$223.25 ,,
9/12/16,2016-2017,Abilene Independent School District,4807440,Gaggle,Gaggle Safety Management for Google - Students (Drive + Email),"$40,000 ",,
10/2/17,2017-2018,Abilene Independent School District,4807440,Gaggle,Gaggle Safety Management for Google Drive - Students (Grades K-4),"$12,680 ",,
10/2/17,2017-2018,Abilene Independent School District,4807440,Gaggle,"Gaggle Safety Management for Google - Students (Grades 5-12) Service Terms 12 Months - September 1, 2017 through August 31, 2018","$37,720 ",,
9/25/18,2018-2019,Abilene Independent School District,4807440,Gaggle,Gaggle Safety Management for Google Drive - Student,"$12,680 ",,
9/25/18,2018-2019,Abilene Independent School District,4807440,Gaggle,Gaggle Safety Management for Google - Student,"$39,780 ",,
6/20/19,2019-2020,Abilene Independent School District,4807440,Securly,Chrometools Securly Software,"$12,535.10 ",,
9/10/19,2019-2020,Abilene Independent School District,4807440,Gaggle,Gaggle Safety Management for Google - Student; Drive and Email,"$44,753 ",,
9/10/19,2019-2020,Abilene Independent School District,4807440,Gaggle,Gaggle Safety Management for Google Drive - Students,"$12,680 ",,
9/19/19,2019-2020,Abilene Independent School District,4807440,Securly,"ChromeTools Securly Licenses; 1 Year, 900 licenses","$3,256.90 ",,
7/27/18,2018-2019,Advantage Academy,4800041,Gaggle,annual safety managment fe,"$5,000 ",,
