DistrictName,SchoolYearPurchased,Technology,NumberStudents,PurchasedDate,PurchaseDescription,TotalCost,Notes,Comment
ABILENE ISD,2016-2017,Gaggle,17030,9/12/16,Gaggle Safety Management for Google - Students (Drive + Email),"$40,000 ",,
ABILENE ISD,2017-2018,Gaggle,16842,10/2/17,"Gaggle Safety Management for Google - Students (Grades 5-12) Service Terms 12 Months - September 1, 2017 through August 31, 2018","$37,720 ",,
ABILENE ISD,2017-2018,Gaggle,16842,10/2/17,Gaggle Safety Management for Google Drive - Students (Grades K-4),"$12,680 ",,
ABILENE ISD,2018-2019,Gaggle,16645,9/25/18,Gaggle Safety Management for Google - Student,"$39,780 ",,
ABILENE ISD,2018-2019,Gaggle,16645,9/25/18,Gaggle Safety Management for Google Drive - Student,"$12,680 ",,
ABILENE ISD,2019-2020,Securly,16612,6/20/19,Chrometools Securly Software,"$12,535.10 ",,
ABILENE ISD,2019-2020,Gaggle,16612,9/10/19,Gaggle Safety Management for Google - Student; Drive and Email,"$44,753 ",,
ABILENE ISD,2019-2020,Gaggle,16612,9/10/19,Gaggle Safety Management for Google Drive - Students,"$12,680 ",,
ABILENE ISD,2019-2020,Securly,16612,9/19/19,"ChromeTools Securly Licenses; 1 Year, 900 licenses","$3,256.90 ",,
ADVANTAGE ACADEMY,2018-2019,Gaggle,1689,7/27/18,annual safety managment fe,"$5,000 ",,
ALVIN ISD,2017-2018,Gaggle,24852,2/9/18,GAGGLE SAFETY MANAGEMENT SAFETY AUDIT 1700,"$4,995 ",Says they never used the service.,""" My name is Renae Rives and I'm the director of communications for Alvin ISD, and I was calling you back in response to your Gaggle, your story on Gaggle. We actually never went with Gaggle, we never used it. They came and did a presentation for us, but that's all they did. And we decided that it just didn't meet our learning objectives and what we need for the district. But so we, we actually never had them."""
ALVORD ISD,2015-2016,Gaggle,713,9/10/15,FILTER,"$3,596 ",,
ALVORD ISD,2016-2017,Gaggle,722,9/15/16,Email Filtering,"$2,888 ",,
ALVORD ISD,2017-2018,Gaggle,709,10/5/17,STUDENT EMAIL FILTERIN,"$2,970 ",,
ALVORD ISD,2018-2019,Gaggle,727,9/14/18,Student Filtering,"$2,970 ",,
ALVORD ISD,2019-2020,Gaggle,738,9/16/19,Safety Management Software,"$5,323 ",,
ALVORD ISD,2019-2020,Gaggle,738,9/18/19,Safety Management Software,"$5,323 ",,
ANNA ISD,2018-2019,Go Guardian,3597,1/17/19,AHS GO GUARDIAN,$105 ,,
ANSON ISD,2015-2016,Go Guardian,690,2/29/16,GOOGLE GO GUARDIAN-H,$114.10 ,,
ANSON ISD,2016-2017,Go Guardian,753,1/31/17,10 GO GUARDIAN,$124.40 ,,
APPLE SPRINGS ISD,2017-2018,Go Guardian,199,11/14/17,GO GUARDIAN,$635 ,Just a web filter. Said the cost is off.,View the full comment here: https://app.trint.com/public/6623dbce-7ddb-4ee8-86e4-55866556a85a.
APPLE SPRINGS ISD,2018-2019,Go Guardian,202,10/31/18,GO GUARDIAN TEACHER/,$635 ,,View the full comment here: https://app.trint.com/public/6623dbce-7ddb-4ee8-86e4-55866556a85a.
ARGYLE ISD,2016-2017,Gaggle,2445,4/3/17,Gaggle Filtering,"$2,790 ",,"""Argyle ISD purchased this technology to utilize as a safety precaution when students are using district-issued technology. There was not an instigating incident that led the district to purchase this technology. 

Argyle ISD utilizes Gaggle and Go Guardian. This technology helps Argyle ISD effectively monitor district-issued technology and has the capability of alerting the district of any safety concerns.

The policies are covered under Argyle ISD's Access and Responsible Use Policy."" -Rick Herrin, Director of Communiations"
ARGYLE ISD,2017-2018,Gaggle,2716,1/17/18,invoice 35093 / student growthItem Discount = .00; Item.Freight = .00,"$1,843 ",,"""Argyle ISD purchased this technology to utilize as a safety precaution when students are using district-issued technology. There was not an instigating incident that led the district to purchase this technology. 

Argyle ISD utilizes Gaggle and Go Guardian. This technology helps Argyle ISD effectively monitor district-issued technology and has the capability of alerting the district of any safety concerns.

The policies are covered under Argyle ISD's Access and Responsible Use Policy."" -Rick Herrin, Director of Communiations"
ARGYLE ISD,2017-2018,Gaggle,2716,9/1/17,gaggle email filtering / alert,"$10,725 ",,"""Argyle ISD purchased this technology to utilize as a safety precaution when students are using district-issued technology. There was not an instigating incident that led the district to purchase this technology. 

Argyle ISD utilizes Gaggle and Go Guardian. This technology helps Argyle ISD effectively monitor district-issued technology and has the capability of alerting the district of any safety concerns.

The policies are covered under Argyle ISD's Access and Responsible Use Policy."" -Rick Herrin, Director of Communiations"
